pjid,pgpath,cttp,os,rcmdtype,openid,loccid,k,time
"train,flight,hotel,train,hotel,flight",/homepage/0,"54,64,191,51,16,61",2,"finderdefalut,finderdefalut,finderdefalut,train,hotel,flight",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到北京的火车票,苏州的酒店,苏州到兰州的机票",2018-12-13 18:02:58
"train,flight,hotel,hotel,train,flight",/homepage/4,"54,64,191,16,51,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,flight",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州的酒店,苏州到北京的火车票,苏州到兰州的机票",2018-12-13 18:01:49
"train,flight,hotel,hotel,train,flight",/homepage/4,"54,64,191,16,51,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,flight",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州的酒店,苏州到北京的火车票,苏州到兰州的机票",2018-12-13 18:01:42
"train,flight,hotel,hotel,train,flight",/homepage/4,"54,64,191,16,51,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,flight",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州的酒店,苏州到北京的火车票,苏州到兰州的机票",2018-12-13 18:01:31
"train,flight,hotel,hotel,train,flight",/homepage/4,"54,64,191,16,51,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,flight",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州的酒店,苏州到北京的火车票,苏州到兰州的机票",2018-12-13 18:01:12
"train,flight,hotel,hotel,train,flight",/homepage/3,"54,64,191,16,51,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,flight",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州的酒店,苏州到北京的火车票,苏州到兰州的机票",2018-12-13 17:59:22
"train,flight,hotel,hotel,train,flight",/homepage/3,"54,64,191,16,51,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,flight",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州的酒店,苏州到北京的火车票,苏州到兰州的机票",2018-12-13 11:00:04
"train,flight,hotel,hotel,train,hotel",/homepage/3,"54,64,191,1,51,15",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),苏州到北京的火车票,上海的四星级酒店",2018-12-13 10:59:50
"train,flight,hotel,flight,train,hotel",/homepage/1,"54,64,191,61,51,1",2,"finderdefalut,finderdefalut,finderdefalut,flight,train,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到兰州的机票,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店)",2018-12-13 10:59:15
"train,flight,hotel,train,hotel,hotel",/homepage/0,"54,64,191,51,1,15",2,"finderdefalut,finderdefalut,finderdefalut,train,hotel,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),上海的四星级酒店",2018-12-13 10:58:51
"train,flight,hotel,hotel,train,hotel",/homepage/3,"54,64,191,1,51,15",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),苏州到北京的火车票,上海的四星级酒店",2018-12-13 10:58:38
"train,flight,hotel,hotel,train,hotel",/homepage/3,"54,64,191,1,51,15",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),苏州到北京的火车票,上海的四星级酒店",2018-12-13 10:58:32
"train,flight,hotel,hotel,train,hotel",/homepage/3,"54,64,191,1,51,15",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),苏州到北京的火车票,上海的四星级酒店",2018-12-13 10:58:27
"train,flight,hotel,flight,train,hotel",/homepage/1,"54,64,191,61,51,1",2,"finderdefalut,finderdefalut,finderdefalut,flight,train,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到兰州的机票,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店)",2018-12-13 10:57:09
"train,flight,hotel,flight,train,hotel",/homepage/1,"54,64,191,61,51,1",2,"finderdefalut,finderdefalut,finderdefalut,flight,train,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到兰州的机票,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店)",2018-12-11 11:24:28
"train,flight,hotel,flight,train,hotel",/homepage/1,"54,64,191,61,51,1",2,"finderdefalut,finderdefalut,finderdefalut,flight,train,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到兰州的机票,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店)",2018-12-11 11:24:07
"train,flight,hotel,train,hotel,hotel,flight,train,flight",/homepage/0,"54,64,191,51,1,15,61,52,61",2,"finderdefalut,finderdefalut,finderdefalut,train,hotel,hotel,flight,train,train",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),上海的四星级酒店,苏州到兰州的机票,北京到苏州的火车票,苏州到北京的机票",2018-12-11 11:08:49
"train,flight,hotel,train,hotel,hotel",/homepage/0,"54,64,191,51,1,15",2,"finderdefalut,finderdefalut,finderdefalut,train,hotel,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),上海的四星级酒店",2018-12-11 11:05:57
"train,flight,hotel,train,hotel,hotel",/homepage/0,"54,64,191,51,1,15",2,"finderdefalut,finderdefalut,finderdefalut,train,hotel,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),上海的四星级酒店",2018-12-11 11:02:07
"train,flight,hotel,train,hotel,hotel",/homepage/0,"54,64,191,51,1,15",2,"finderdefalut,finderdefalut,finderdefalut,train,hotel,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),上海的四星级酒店",2018-12-11 11:01:56
"train,flight,hotel,train,hotel,hotel",/homepage/0,"54,64,191,51,1,15",2,"finderdefalut,finderdefalut,finderdefalut,train,hotel,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),上海的四星级酒店",2018-12-11 10:45:11
"train,flight,hotel,train,hotel,hotel",/homepage/0,"54,64,191,51,1,15",2,"finderdefalut,finderdefalut,finderdefalut,train,hotel,hotel",o498X0Q0ai4NoJEI_aXNy93INSbw,226,"火车票,特价机票,附近酒店,苏州到北京的火车票,金巴兰国际酒店(上海虹桥枢纽国家会展中心店),上海的四星级酒店",2018-12-11 10:44:34
"train,flight,hotel,train,train,hotel,scenery",/homepage/0,"54,64,191,51,52,16,82",2,"finderdefalut,finderdefalut,finderdefalut,train,train,train,train",o498X0Q0tmba5aKF06XQSh1wO19U,53,"火车票,特价机票,附近酒店,北京到保定的火车票,保定到北京的火车票,保定的酒店,保定的热门景区",2018-12-12 03:37:12
"train,flight,hotel,hotel,hotel,train",/homepage/3,"54,64,191,1,1,51",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,train",o498X0Q12Gv6aw_anc5tNT-kDiU4,317,"火车票,特价机票,附近酒店,三亚伴海时光酒店,三亚missyou海景公寓,西安到重庆的火车票",2018-12-12 17:26:57
"train,flight,hotel,flight,train,train",/homepage/1,"54,64,191,61,51,52",1,"finderdefalut,finderdefalut,finderdefalut,flight,train,train",o498X0Q1Gq7wNz-XbOht5wyoGXS8,238,"火车票,特价机票,附近酒店,南昌到西安的机票,九江到西安的火车票,西安到九江的火车票",2018-12-13 09:18:42
"train,flight,hotel,flight,flight,hotel,scenery",/homepage/0,"54,64,191,61,62,16,82",2,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight,flight",o498X0Q1UoA7R3-X21iKS-_ojCHE,343,"火车票,特价机票,附近酒店,北京到咸阳的机票,咸阳到北京的机票,咸阳的酒店,咸阳的热门景区",2018-12-12 09:49:05
"train,flight,hotel,flight,flight,hotel",/homepage/0,"54,64,191,61,62,16",2,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight",o498X0Q1UoA7R3-X21iKS-_ojCHE,343,"火车票,特价机票,附近酒店,北京到咸阳的机票,咸阳到北京的机票,咸阳的酒店",2018-12-12 09:48:43
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q1b7v6-sWJnY7Hr_9mBctg,281,"火车票,特价机票,附近酒店,西宁到郑州的火车票,郑州到西宁的火车票,西宁到郑州的机票",2018-12-13 18:47:14
"train,flight,hotel,hotel,train,flight",/homepage/3,"54,64,191,1,51,61",2,"finderdefalut,finderdefalut,finderdefalut,hotel,train,flight",o498X0Q1fK07IsePr9CZ7ZDEKapQ,224,"火车票,特价机票,附近酒店,凭祥中越国际大酒店,南宁到盐城的火车票,南宁到南京的机票",2018-12-13 21:06:55
"train,flight,hotel,train,hotel,scenery",/homepage/0,"54,64,191,52,16,82",1,"finderdefalut,finderdefalut,finderdefalut,global_train,global_train,global_train",o498X0Q21zdoEsWDKbAsi4QME8Dc,321,"火车票,特价机票,附近酒店,通辽到公主岭的火车票,通辽的酒店,通辽的热门景区",2018-12-13 14:44:11
"train,flight,hotel,train,hotel,scenery",/homepage/0,"54,64,191,52,16,82",1,"finderdefalut,finderdefalut,finderdefalut,global_train,global_train,global_train",o498X0Q21zdoEsWDKbAsi4QME8Dc,217,"火车票,特价机票,附近酒店,沈阳到公主岭的火车票,沈阳的酒店,沈阳的热门景区",2018-12-13 14:43:11
"train,flight,hotel,flight,train,train",/homepage/1,"54,64,191,61,51,52",1,"finderdefalut,finderdefalut,finderdefalut,flight,train,train",o498X0Q22pB26aZVlB25_VERs1BM,321,"火车票,特价机票,附近酒店,上海到达州的机票,上海到达州的火车票,达州到上海的火车票",2018-12-12 14:13:27
"train,flight,hotel,flight,flight,hotel",/homepage/1,"54,64,191,61,62,16",1,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight",o498X0Q22pB26aZVlB25_VERs1BM,321,"火车票,特价机票,附近酒店,福州到天津的机票,天津到福州的机票,天津的酒店",2018-12-11 21:54:34
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q2KYKBUEMvS6hzzLxEdSLA,343,"火车票,特价机票,附近酒店,天津到济宁的火车票,济宁到天津的火车票,天津到济宁的机票",2018-12-12 17:23:49
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q2KYKBUEMvS6hzzLxEdSLA,343,"火车票,特价机票,附近酒店,天津到济宁的火车票,济宁到天津的火车票,天津到济宁的机票",2018-12-12 17:22:09
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q2KYKBUEMvS6hzzLxEdSLA,343,"火车票,特价机票,附近酒店,天津到济宁的火车票,济宁到天津的火车票,天津到济宁的机票",2018-12-12 17:22:01
"train,flight,hotel,flight,flight,hotel",/homepage/0,"54,64,191,61,62,16",1,"finderdefalut,finderdefalut,finderdefalut,flight,flight,flight",o498X0Q2PcgRg0UhYZ1v7xx-jcjQ,319,"火车票,特价机票,附近酒店,北京到上海的机票,上海到北京的机票,上海的酒店",2018-12-13 23:16:48
"train,flight,hotel,hotel,hotel,hotel",/homepage/3,"54,64,191,16,1,1",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,hotel",o498X0Q2l4yYZYgZ8UPXT3CEbuVA,54,"火车票,特价机票,附近酒店,福州的酒店,福州蔓哈顿酒店,速8酒店(福州火车站广场店)",2018-12-13 20:30:01
"train,flight,hotel,flight,train,train",/homepage/1,"54,64,191,61,51,52",1,"finderdefalut,finderdefalut,finderdefalut,flight,train,train",o498X0Q2rNd_KhtmXkAqJFDXi8rY,394,"火车票,特价机票,附近酒店,重庆到三亚的机票,重庆到三亚的火车票,三亚到重庆的火车票",2018-12-12 09:05:49
"train,flight,hotel,bus",/homepage/0,"54,64,191,111",1,"finderdefalut,finderdefalut,finderdefalut,bus",o498X0Q3PE4QXzxQNXia2C39-vJY,null,"火车票,特价机票,附近酒店,麻栗坡到河口的汽车票",2018-12-13 20:13:50
"train,flight,hotel,bus,train,bus",/homepage/2,"54,64,191,111,51,112",2,"finderdefalut,finderdefalut,finderdefalut,bus,train,bus",o498X0Q3PrEMVV0UmyP1brW85VJ0,190,"火车票,特价机票,附近酒店,上海到北京的汽车票,大理到昆明的火车票,北京到上海的汽车票",2018-12-13 22:37:26
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",2,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q3_dt2TGhW0Z1x55HvmQIQ,80,"火车票,特价机票,附近酒店,上海到北京的火车票,北京到上海的火车票,上海到北京的机票",2018-12-13 08:31:06
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",2,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q3_dt2TGhW0Z1x55HvmQIQ,80,"火车票,特价机票,附近酒店,上海到北京的火车票,北京到上海的火车票,上海到北京的机票",2018-12-12 21:47:37
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",2,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q3_dt2TGhW0Z1x55HvmQIQ,80,"火车票,特价机票,附近酒店,上海到北京的火车票,北京到上海的火车票,上海到北京的机票",2018-12-12 21:39:19
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",2,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q3_dt2TGhW0Z1x55HvmQIQ,80,"火车票,特价机票,附近酒店,上海到北京的火车票,北京到上海的火车票,上海到北京的机票",2018-12-12 21:37:34
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",2,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q3_dt2TGhW0Z1x55HvmQIQ,80,"火车票,特价机票,附近酒店,上海到北京的火车票,北京到上海的火车票,上海到北京的机票",2018-12-12 21:31:14
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",2,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q3_dt2TGhW0Z1x55HvmQIQ,80,"火车票,特价机票,附近酒店,上海到北京的火车票,北京到上海的火车票,上海到北京的机票",2018-12-12 21:28:19
"train,flight,hotel,hotel,hotel,train",/homepage/3,"54,64,191,1,1,51",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,train",o498X0Q3fa7FU0XI5UCE80C2i53M,53,"火车票,特价机票,附近酒店,上海恒升半岛外滩公寓,如家联盟酒店(上海河南中路南京东路地铁站店)(原唯艾时尚酒店),北京到上海的火车票",2018-12-13 20:59:34
"train,flight,hotel,hotel,hotel,train",/homepage/3,"54,64,191,1,1,51",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,train",o498X0Q3fa7FU0XI5UCE80C2i53M,53,"火车票,特价机票,附近酒店,如家联盟酒店(上海河南中路南京东路地铁站店)(原唯艾时尚酒店),上海艾吧主题精品酒店,北京到上海的火车票",2018-12-13 20:57:01
"train,flight,hotel,hotel,hotel,train",/homepage/3,"54,64,191,1,1,51",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,train",o498X0Q3fa7FU0XI5UCE80C2i53M,53,"火车票,特价机票,附近酒店,如家联盟酒店(上海河南中路南京东路地铁站店)(原唯艾时尚酒店),上海艾吧主题精品酒店,北京到上海的火车票",2018-12-13 20:52:18
"train,flight,hotel,hotel,hotel,train",/homepage/3,"54,64,191,1,1,51",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,train",o498X0Q3fa7FU0XI5UCE80C2i53M,53,"火车票,特价机票,附近酒店,如家联盟酒店(上海河南中路南京东路地铁站店)(原唯艾时尚酒店),上海艾吧主题精品酒店,北京到上海的火车票",2018-12-13 20:49:21
"train,flight,hotel,hotel,hotel,train",/homepage/3,"54,64,191,1,1,51",2,"finderdefalut,finderdefalut,finderdefalut,hotel,hotel,train",o498X0Q3fa7FU0XI5UCE80C2i53M,53,"火车票,特价机票,附近酒店,如家联盟酒店(上海河南中路南京东路地铁站店)(原唯艾时尚酒店),如家快捷酒店(上海外滩城隍庙小南门地铁站店),北京到大连的火车票",2018-12-13 14:55:12
"train,flight,hotel,train,train,flight",/homepage/0,"54,64,191,51,52,61",1,"finderdefalut,finderdefalut,finderdefalut,train,train,train",o498X0Q3qXpOH4Y3f4JqQv3tSTIo,321,"火车票,特价机票,附近酒店,上海到北京的火车票,北京到上海的火车票,上海到北京的机票",2018-12-11 09:15:15
